,Season,Player,MP,PTS,AST,TRB,STL,BLK,TS%,PER,WS,BPM,VORP,USG%,W/L%,Share
0,2015,Russell Westbrook,34.4,28.1,8.6,7.3,2.1,0.2,0.536,29.1,10.6,8.1,5.8,38.4,0.549,0.271
1,2015,James Harden,36.8,27.4,7.0,5.7,1.9,0.7,0.605,26.7,16.4,8.8,8.1,31.3,0.683,0.72
2,2015,Kevin Durant,33.8,25.4,4.1,6.6,0.9,0.9,0.633,27.6,4.8,10.0,2.8,29.1,0.549,0.0
3,2015,LeBron James,36.1,25.3,7.4,6.0,1.6,0.7,0.577,25.9,10.4,7.1,5.7,32.3,0.646,0.425
4,2015,Anthony Davis,36.1,24.4,2.2,10.2,1.5,2.9,0.591,30.8,14.0,8.9,6.7,27.8,0.549,0.156
5,2015,Carmelo Anthony,35.7,24.2,3.1,6.6,1.0,0.4,0.531,21.5,2.9,3.0,1.8,32.2,0.207,0.0
6,2015,DeMarcus Cousins,34.1,24.1,3.6,12.7,1.5,1.7,0.545,25.2,6.0,4.3,3.2,34.1,0.354,0.0
7,2015,Stephen Curry,32.7,23.8,7.7,4.3,2.0,0.2,0.638,28.0,15.7,9.9,7.9,28.9,0.817,0.922
8,2015,LaMarcus Aldridge,35.4,23.4,1.7,10.2,0.7,1.0,0.528,22.8,8.6,2.9,3.1,30.2,0.622,0.005
9,2015,Kobe Bryant,34.5,22.3,5.6,5.7,1.3,0.2,0.477,17.6,0.2,0.3,0.7,34.9,0.256,0.0
10,2015,Blake Griffin,35.2,21.9,5.3,7.6,0.9,0.5,0.551,22.8,9.0,4.0,3.6,28.4,0.683,0.002
11,2015,Kyrie Irving,36.4,21.7,5.2,3.2,1.5,0.3,0.583,21.5,10.4,4.1,4.2,26.2,0.646,0.0
12,2015,Klay Thompson,31.9,21.7,2.9,3.2,1.1,0.8,0.591,20.8,8.8,4.4,4.0,27.6,0.817,0.001
13,2015,Dwyane Wade,31.8,21.5,4.8,3.5,1.2,0.3,0.534,21.4,3.5,2.1,2.1,34.7,0.451,0.0
14,2015,Chris Bosh,35.4,21.1,2.2,7.0,0.9,0.6,0.548,19.8,3.6,1.3,1.3,28.4,0.451,0.0
15,2015,Rudy Gay,35.4,21.1,3.7,5.9,1.0,0.6,0.556,19.7,6.1,2.7,2.9,27.0,0.354,0.0
16,2015,Damian Lillard,35.7,21.0,6.2,4.6,1.2,0.3,0.56,20.7,10.6,4.7,4.9,26.9,0.622,0.0
17,2015,DeMar DeRozan,35.0,20.1,3.5,4.6,1.2,0.2,0.51,17.4,4.0,-0.9,0.6,28.4,0.598,0.0
18,2015,Jimmy Butler,38.7,20.0,3.3,5.8,1.8,0.6,0.583,21.3,11.2,4.6,4.2,21.6,0.61,0.0
19,2015,Kevin Martin,33.4,20.0,2.3,3.6,0.8,0.0,0.549,16.7,1.9,-0.7,0.4,26.6,0.195,0.0
20,2015,Gordon Hayward,34.4,19.3,4.1,4.9,1.4,0.4,0.567,20.2,8.7,4.0,4.0,26.2,0.463,0.0
21,2015,Nikola Vučević,34.2,19.3,2.0,10.9,0.7,0.7,0.548,21.5,7.0,0.9,1.8,26.0,0.305,0.0
22,2015,Chris Paul,34.8,19.1,10.2,4.6,1.9,0.2,0.596,26.0,16.1,8.0,7.2,23.7,0.683,0.095
23,2015,Monta Ellis,33.7,18.9,4.1,2.4,1.9,0.3,0.509,16.5,3.6,-0.1,1.3,27.9,0.61,0.0
24,2015,Pau Gasol,34.4,18.5,2.7,11.8,0.3,1.9,0.55,22.7,10.4,3.5,3.7,24.7,0.61,0.0
25,2015,Victor Oladipo,35.7,17.9,4.1,4.2,1.7,0.3,0.527,15.9,3.5,-0.4,1.1,25.2,0.305,0.0
26,2015,Kyle Lowry,34.5,17.8,6.8,4.7,1.6,0.2,0.527,19.3,7.1,3.0,3.1,25.4,0.598,0.0
27,2015,Derrick Rose,30.0,17.7,4.9,3.2,0.7,0.3,0.493,15.9,1.2,-0.6,0.6,31.7,0.61,0.0
28,2015,John Wall,35.9,17.6,10.0,4.6,1.7,0.6,0.523,19.9,7.8,3.6,4.0,26.1,0.561,0.0
29,2015,Marc Gasol,33.2,17.4,3.8,7.8,0.9,1.6,0.558,21.7,10.2,5.1,4.8,24.6,0.671,0.002
30,2015,Dirk Nowitzki,29.6,17.3,1.9,5.9,0.5,0.4,0.56,19.2,7.2,2.2,2.4,24.9,0.61,0.0
31,2015,Kemba Walker,34.2,17.3,5.1,3.5,1.4,0.5,0.486,17.6,4.5,2.3,2.3,25.9,0.402,0.0
32,2015,Brook Lopez,29.2,17.2,0.7,7.4,0.6,1.8,0.558,22.7,7.0,1.2,1.6,26.3,0.463,0.0
33,2015,Tobias Harris,34.8,17.1,1.8,6.3,1.0,0.5,0.551,16.7,4.8,0.5,1.5,22.5,0.305,0.0
34,2015,Brandon Knight,32.3,17.0,5.2,3.9,1.4,0.2,0.543,17.1,4.5,1.6,1.9,25.9,0.5,0.0
35,2015,Eric Bledsoe,34.6,17.0,6.1,5.2,1.6,0.6,0.555,18.4,7.0,2.1,2.9,23.7,0.476,0.0
36,2015,Andrew Wiggins,36.2,16.9,2.1,4.6,1.0,0.6,0.517,13.9,2.1,-2.4,-0.3,22.6,0.195,0.0
37,2015,Tony Wroten,29.8,16.9,5.2,2.9,1.6,0.3,0.494,14.9,0.3,-1.2,0.2,30.5,0.22,0.0
38,2015,Paul Millsap,32.7,16.7,3.1,7.8,1.8,0.9,0.565,20.0,8.3,3.4,3.3,23.8,0.732,0.0
39,2015,Tyreke Evans,34.1,16.6,6.6,5.3,1.3,0.5,0.508,17.7,4.6,1.2,2.2,26.1,0.549,0.0
40,2015,Al Jefferson,30.6,16.6,1.7,8.4,0.7,1.3,0.5,19.7,4.7,1.6,1.8,26.3,0.402,0.0
41,2015,Kawhi Leonard,31.8,16.5,2.5,7.2,2.3,0.8,0.567,22.0,8.6,5.9,4.1,23.0,0.671,0.001
42,2015,Isaiah Thomas,25.8,16.4,4.2,2.3,0.9,0.1,0.579,20.6,6.1,3.2,2.3,27.8,0.5,0.0
43,2015,Kevin Love,33.8,16.4,2.2,9.7,0.7,0.5,0.562,18.8,8.7,2.7,3.0,21.7,0.646,0.0
44,2015,JJ Redick,30.9,16.4,1.8,2.1,0.5,0.1,0.622,16.2,6.7,1.3,2.0,21.0,0.683,0.0
45,2015,Goran Dragić,33.8,16.3,4.5,3.5,1.0,0.2,0.577,17.4,6.8,0.8,1.8,21.8,0.5,0.0
46,2015,Darren Collison,34.8,16.1,5.6,3.2,1.5,0.3,0.575,17.5,3.8,2.1,1.6,20.9,0.354,0.0
47,2015,George Hill,29.5,16.1,5.1,4.2,1.0,0.3,0.579,21.5,5.4,5.3,2.3,23.8,0.463,0.0
48,2015,Zach Randolph,32.5,16.1,2.2,10.5,1.0,0.2,0.538,19.5,7.2,1.3,1.9,24.3,0.671,0.0
49,2015,Derrick Favors,30.8,16.0,1.5,8.2,0.8,1.7,0.558,21.8,8.3,2.5,2.6,23.8,0.463,0.0
50,2015,Wesley Matthews,33.7,15.9,2.3,3.7,1.3,0.2,0.586,16.1,6.2,3.1,2.6,19.8,0.622,0.0
51,2015,Greg Monroe,31.0,15.9,2.1,10.2,1.1,0.5,0.549,21.2,6.8,2.0,2.1,23.9,0.39,0.0
52,2015,Jeff Teague,30.5,15.9,7.0,2.5,1.7,0.4,0.566,20.6,7.7,2.9,2.8,25.3,0.732,0.0
53,2015,Mike Conley,31.8,15.8,5.4,3.0,1.3,0.2,0.558,18.6,6.8,2.8,2.7,23.7,0.671,0.0
54,2015,Jamal Crawford,26.6,15.8,2.5,1.9,0.9,0.2,0.532,16.6,3.6,0.7,1.2,27.6,0.683,0.0
55,2015,Dwight Howard,29.8,15.8,1.2,10.5,0.7,1.3,0.596,19.2,3.6,-0.4,0.5,23.3,0.683,0.0
56,2015,Chandler Parsons,33.1,15.7,2.4,4.9,1.0,0.3,0.567,16.3,5.5,1.6,2.0,20.6,0.61,0.0
57,2015,Enes Freedom,28.5,15.5,0.7,8.9,0.5,0.4,0.564,20.3,6.4,-0.9,0.6,24.7,0.5,0.0
58,2015,Lou Williams,25.2,15.5,2.1,1.9,1.1,0.1,0.564,19.9,6.6,2.6,2.3,27.0,0.598,0.0
59,2015,Brandon Jennings,28.6,15.4,6.6,2.5,1.1,0.1,0.522,19.7,3.3,3.3,1.6,26.3,0.39,0.0
60,2015,Bradley Beal,33.4,15.3,3.1,3.8,1.2,0.3,0.521,14.0,3.7,0.1,1.1,22.5,0.561,0.0
61,2015,Markieff Morris,31.5,15.3,2.3,6.2,1.2,0.5,0.523,15.8,4.6,-0.3,1.1,23.3,0.476,0.0
62,2015,Al Horford,30.5,15.2,3.2,7.2,0.9,1.3,0.563,21.4,8.7,4.1,3.6,22.2,0.732,0.0
63,2015,Ty Lawson,35.5,15.2,9.6,3.1,1.2,0.1,0.526,18.5,7.0,2.2,2.8,20.6,0.366,0.0
64,2015,Jeff Green,31.5,15.0,1.7,4.2,0.7,0.4,0.534,14.4,5.2,-0.2,1.2,21.9,0.5,0.0
65,2015,Andrea Bargnani,27.1,14.8,1.6,4.4,0.1,0.9,0.527,16.6,0.9,-1.1,0.2,26.4,0.207,0.0
66,2015,Jrue Holiday,32.6,14.8,6.9,3.4,1.6,0.6,0.522,18.8,3.4,2.8,1.6,23.1,0.549,0.0
67,2015,Michael Carter-Williams,32.6,14.6,6.7,5.3,1.7,0.5,0.461,14.1,0.8,-1.1,0.5,26.7,0.5,0.0
68,2015,Reggie Jackson,29.5,14.5,6.0,4.2,0.8,0.1,0.511,17.2,4.9,1.1,1.8,24.6,0.5,0.0
69,2015,Joe Johnson,34.9,14.4,3.7,4.8,0.7,0.2,0.523,14.1,4.1,-0.1,1.3,20.3,0.463,0.0
70,2015,Tony Parker,28.7,14.4,4.9,1.9,0.6,0.0,0.539,15.9,4.1,-1.3,0.3,24.5,0.671,0.0
71,2015,Serge Ibaka,33.1,14.3,0.9,7.8,0.5,2.4,0.549,16.6,5.6,0.9,1.6,18.9,0.549,0.0
72,2015,Mo Williams,29.1,14.2,6.2,2.6,0.7,0.2,0.512,15.4,2.1,-0.8,0.6,25.2,0.5,0.0
73,2015,Thaddeus Young,32.0,14.1,2.3,5.4,1.6,0.3,0.507,15.7,3.1,-0.1,1.1,21.5,0.5,0.0
74,2015,Luol Deng,33.6,14.0,1.9,5.2,0.9,0.3,0.561,15.5,5.4,0.0,1.2,19.5,0.451,0.0
75,2015,Avery Bradley,31.5,13.9,1.8,3.1,1.1,0.2,0.507,11.5,2.5,-2.2,-0.1,21.0,0.488,0.0
76,2015,Alec Burks,33.3,13.9,3.0,4.2,0.6,0.2,0.524,13.0,1.7,-1.7,0.1,20.8,0.463,0.0
77,2015,Wilson Chandler,31.7,13.9,1.7,6.1,0.7,0.4,0.523,13.2,3.6,-0.6,0.9,20.1,0.366,0.0
78,2015,Tim Duncan,28.9,13.9,3.0,9.1,0.8,2.0,0.56,22.6,9.6,5.1,4.0,22.2,0.671,0.001
79,2015,Andre Drummond,30.5,13.8,0.7,13.5,0.9,1.9,0.504,21.4,7.7,-0.1,1.2,22.0,0.39,0.0
80,2015,Ryan Anderson,27.5,13.7,0.9,4.8,0.5,0.3,0.524,15.6,3.5,-0.3,0.7,23.4,0.549,0.0
81,2015,Robert Covington,27.9,13.5,1.5,4.5,1.4,0.4,0.554,14.7,4.0,0.7,1.3,21.8,0.22,0.0
82,2015,C.J. Miles,26.3,13.5,1.1,3.1,0.9,0.4,0.525,14.1,3.6,0.9,1.3,23.9,0.463,0.0
83,2015,Shabazz Muhammad,22.8,13.5,1.2,4.1,0.5,0.2,0.556,19.9,2.0,0.7,0.6,25.3,0.195,0.0
84,2015,Eric Gordon,33.1,13.4,3.8,2.6,0.8,0.2,0.544,12.7,2.9,-1.0,0.5,19.8,0.549,0.0
85,2015,Khris Middleton,30.1,13.4,2.3,4.4,1.5,0.1,0.563,15.6,6.7,1.6,2.2,19.9,0.5,0.0
86,2015,Nick Young,23.8,13.4,1.0,2.3,0.5,0.3,0.52,14.2,1.2,-1.3,0.2,26.0,0.256,0.0
87,2015,Arron Afflalo,32.1,13.3,1.7,3.2,0.5,0.1,0.533,10.7,2.6,-2.5,-0.3,19.0,0.5,0.0
88,2015,Jared Sullinger,27.0,13.3,2.3,7.6,0.8,0.7,0.503,17.9,4.0,1.1,1.2,23.6,0.488,0.0
89,2015,Deron Williams,31.1,13.0,6.6,3.5,0.9,0.3,0.504,15.7,3.6,0.2,1.2,22.3,0.463,0.0
90,2015,Trevor Ariza,35.7,12.8,2.5,5.6,1.9,0.2,0.539,12.7,6.6,1.0,2.2,16.5,0.683,0.0
91,2015,Trey Burke,30.1,12.8,4.3,2.7,0.9,0.2,0.455,12.6,2.4,-1.4,0.3,23.9,0.463,0.0
92,2015,Giannis Antetokounmpo,31.4,12.7,2.6,6.7,0.9,1.0,0.552,14.8,6.2,0.0,1.2,19.6,0.5,0.0
