Season,Player,MP,PTS,AST,TRB,STL,BLK,TS%,PER,WS,BPM,VORP,USG%,W/L%,Share
2003,Tracy McGrady,39.4,32.1,5.5,6.5,1.7,0.8,0.564,30.3,16.1,10.5,9.3,35.2,0.512,0.359
2003,Kobe Bryant,41.5,30.0,5.9,6.9,2.2,0.8,0.55,26.2,14.9,7.1,7.7,32.9,0.61,0.417
2003,Allen Iverson,42.5,27.6,5.5,4.2,2.7,0.2,0.5,21.2,9.2,3.5,4.8,32.9,0.585,0.07
2003,Shaquille O'Neal,37.8,27.5,3.1,11.1,0.6,2.4,0.602,29.5,13.2,6.5,5.5,30.2,0.61,0.106
2003,Paul Pierce,39.2,25.9,4.4,7.3,1.8,0.8,0.532,22.7,10.1,4.9,5.4,33.2,0.537,0.001
2003,Dirk Nowitzki,39.0,25.1,3.0,9.9,1.4,1.0,0.581,25.6,16.1,7.2,7.3,27.4,0.732,0.036
2003,Tim Duncan,39.3,23.3,3.9,12.9,0.7,2.9,0.564,26.9,16.5,7.6,7.7,28.0,0.732,0.808
2003,Kevin Garnett,40.5,23.0,6.0,13.4,1.4,1.6,0.553,26.4,15.6,8.4,8.7,26.4,0.622,0.732
2003,Chris Webber,39.1,23.0,5.4,10.5,1.6,1.3,0.485,20.9,6.9,3.5,3.6,30.4,0.72,0.016
2003,Ray Allen,37.9,22.5,4.4,5.0,1.4,0.2,0.565,21.3,9.1,3.6,4.1,27.8,0.5,0.0
2003,Allan Houston,37.9,22.5,2.7,2.8,0.7,0.1,0.563,17.7,7.2,1.0,2.4,27.0,0.451,0.0
2003,Stephon Marbury,40.0,22.3,8.1,3.2,1.3,0.2,0.52,20.1,9.6,2.9,4.0,27.7,0.537,0.0
2003,Antawn Jamison,39.3,22.2,1.9,7.0,0.9,0.5,0.542,19.0,8.5,0.7,2.2,24.5,0.463,0.0
2003,Jalen Rose,40.9,22.1,4.8,4.3,0.9,0.3,0.508,14.9,3.6,-1.2,0.7,27.4,0.366,0.0
2003,Jamal Mashburn,40.5,21.6,5.6,6.1,1.0,0.2,0.507,18.0,9.0,2.2,3.5,27.1,0.5,0.001
2003,Jerry Stackhouse,39.2,21.5,4.5,3.7,0.9,0.4,0.528,18.7,6.5,1.3,2.3,27.9,0.451,0.0
2003,Shawn Marion,41.6,21.2,2.4,9.5,2.3,1.2,0.538,21.3,13.0,5.6,6.5,23.3,0.537,0.0
2003,Steve Francis,41.0,21.0,6.2,6.2,1.7,0.5,0.541,20.6,11.1,3.8,4.8,26.1,0.524,0.0
2003,Jermaine O'Neal,37.2,20.8,2.0,10.3,0.9,2.3,0.539,21.4,10.5,2.9,3.5,26.2,0.585,0.0
2003,Glenn Robinson,37.6,20.8,3.0,6.6,1.3,0.4,0.519,16.7,2.9,-0.8,0.8,28.8,0.427,0.0
2003,Vince Carter,34.2,20.6,3.3,4.4,1.1,1.0,0.532,21.9,4.2,4.5,2.4,28.1,0.293,0.0
2003,Ricky Davis,39.6,20.6,5.5,4.9,1.6,0.5,0.485,16.1,3.0,-0.3,1.3,27.1,0.207,0.0
2003,Karl Malone,36.2,20.6,4.7,7.8,1.7,0.4,0.534,21.7,11.1,4.2,4.6,27.8,0.573,0.0
2003,Gary Payton,40.1,20.4,8.3,4.2,1.7,0.3,0.504,21.1,9.1,3.1,4.1,26.4,0.5,0.0
2003,Antoine Walker,41.5,20.1,4.8,7.2,1.5,0.4,0.467,14.6,2.6,-0.5,1.3,27.9,0.537,0.0
2003,Michael Jordan,37.0,20.0,3.8,6.1,1.5,0.5,0.491,19.3,6.2,1.7,2.8,28.7,0.451,0.0
2003,Shareef Abdur-Rahim,38.1,19.9,3.0,8.4,1.1,0.5,0.566,19.9,9.7,1.6,2.8,24.2,0.427,0.0
2003,Sam Cassell,34.6,19.7,5.8,4.4,1.1,0.2,0.565,22.3,9.6,2.7,3.2,26.5,0.512,0.0
2003,Richard Hamilton,32.2,19.7,2.5,3.9,0.8,0.2,0.531,18.7,7.3,0.4,1.6,31.3,0.61,0.0
2003,Michael Finley,38.3,19.3,3.0,5.8,1.1,0.3,0.514,17.6,6.7,1.7,2.4,24.2,0.732,0.0
2003,Peja Stojaković,34.0,19.2,2.0,5.5,1.0,0.1,0.6,19.6,10.1,3.5,3.4,22.5,0.72,0.0
2003,Pau Gasol,36.0,19.0,2.8,8.8,0.4,1.8,0.57,20.7,8.5,1.8,2.8,24.1,0.341,0.0
2003,Jason Kidd,37.4,18.7,8.9,6.3,2.2,0.3,0.526,22.2,11.3,6.6,6.5,25.9,0.598,0.026
2003,Elton Brand,39.6,18.5,2.5,11.3,1.1,2.5,0.543,21.7,7.6,3.0,3.1,22.4,0.329,0.0
2003,Eddie Jones,38.1,18.5,3.7,4.8,1.4,0.7,0.551,18.9,6.0,5.0,3.1,23.0,0.305,0.0
2003,Juwan Howard,35.5,18.4,3.0,7.6,1.0,0.4,0.501,17.2,6.0,1.1,2.1,26.1,0.207,0.0
2003,Gilbert Arenas,35.0,18.3,6.3,4.7,1.5,0.2,0.54,18.6,6.5,1.3,2.4,24.9,0.463,0.0
2003,Rashard Lewis,39.5,18.1,1.7,6.5,1.3,0.5,0.537,16.7,7.8,0.7,2.1,22.2,0.5,0.0
2003,Rasheed Wallace,36.3,18.1,2.1,7.4,0.9,1.0,0.552,18.5,8.5,2.5,3.1,23.3,0.61,0.0
2003,Steve Nash,33.1,17.7,7.3,2.9,1.0,0.1,0.576,22.6,11.6,4.6,4.5,24.4,0.732,0.001
2003,Matt Harpring,32.8,17.6,1.7,6.6,0.9,0.2,0.588,19.3,8.8,1.9,2.6,23.9,0.573,0.0
2003,Wally Szczerbiak,35.3,17.6,2.6,4.6,0.8,0.4,0.567,17.3,5.2,0.9,1.3,22.0,0.622,0.0
2003,Cuttino Mobley,41.7,17.5,2.8,4.2,1.3,0.5,0.537,14.7,6.9,0.2,1.7,20.6,0.524,0.0
2003,Zydrunas Ilgauskas,30.0,17.2,1.6,7.5,0.7,1.9,0.516,19.4,5.0,-0.3,1.0,27.8,0.207,0.0
2003,Jason Terry,38.0,17.2,7.4,3.4,1.6,0.2,0.549,18.2,7.4,1.8,3.0,22.6,0.427,0.0
2003,Baron Davis,37.8,17.1,6.4,3.7,1.8,0.4,0.5,16.9,4.5,3.2,2.5,24.0,0.5,0.0
2003,Corey Maggette,31.3,16.8,1.9,5.0,0.9,0.3,0.564,17.4,5.0,0.4,1.2,24.8,0.329,0.0
2003,Kenyon Martin,34.1,16.7,2.4,8.3,1.3,0.9,0.511,16.9,7.1,1.0,2.0,24.8,0.598,0.0
2003,David Wesley,37.1,16.7,3.4,2.4,1.5,0.1,0.533,15.1,7.0,1.1,2.1,21.4,0.5,0.0
2003,Latrell Sprewell,38.6,16.4,4.5,3.9,1.4,0.3,0.497,14.3,3.2,0.1,1.5,22.6,0.451,0.0
