Rank,player_id,Player,Team,MP,PTS,AST,TRB,STL,BLK,Predicted_Share
1,gilgesh01,Shai Gilgeous-Alexander,OKC,33.2,31.1,6.6,4.3,1.4,0.8,0.8735240974053402
2,wembavi01,Victor Wembanyama,SAS,29.2,25.0,3.1,11.5,1.0,3.1,0.8384681429971406
3,jokicni01,Nikola Jokić,DEN,34.8,27.7,10.7,12.9,1.4,0.8,0.7840172981222939
4,doncilu01,Luka Dončić,LAL,35.8,33.5,8.3,7.7,1.6,0.5,0.42013128008726564
5,leonaka01,Kawhi Leonard,LAC,32.1,27.9,3.6,6.4,1.9,0.4,0.10216058300086038
6,cunnica01,Cade Cunningham,DET,33.9,23.9,9.9,5.5,1.4,0.8,0.0883155348751647
7,brownja02,Jaylen Brown,BOS,34.4,28.7,5.1,6.9,1.0,0.4,0.08726201957663536
8,mitchdo01,Donovan Mitchell,CLE,33.5,27.9,5.7,4.5,1.5,0.3,0.07431658176448623
9,brunsja01,Jalen Brunson,NYK,35.0,26.0,6.8,3.3,0.8,0.1,0.021902489996139467
10,duranke01,Kevin Durant,HOU,36.4,26.0,4.8,5.5,0.8,0.9,0.008394148154244507
11,murraja01,Jamal Murray,DEN,35.4,25.4,7.1,4.4,0.9,0.4,0.007634042748563846
12,maxeyty01,Tyrese Maxey,PHI,38.0,28.3,6.6,4.1,1.9,0.8,0.006631421704943125
